"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*04tcc*","Jonny","WOL","D","303","FA","WOL 0<br/>@ARS 5 F","7.5","7.5","0%","0%","1","0","24","0","0","0","1","0","0","0","0","0","0","0","0","0","1","2","0","0","1","0","1","0","0","0","1","0"
"*04yim*","Christian Pulisic","CHE","M","330","FA","NEW 1<br/>@CHE 1 F","7.5","7.5","0%","0%","1","1","86","0","0","0","1","0","1","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","1","0"
"*02lsa*","Dan Burn","NEW","D","67","DF","NEW 1<br/>@CHE 1 F","7.5","7.5","75%","+1%","1","1","90","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","90"
"*02y6o*","Nathan Ake","MCI","D","211","FA","MCI 0<br/>@BRF 1 F","7.25","7.25","24%","+1%","1","1","90","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","3","0","0","3","0","0","0","1","0"
"*03v9d*","Son Heung-Min","TOT","F","27","j.l.","TOT 4<br/>@LEE 1 F","7","7","10%","0%","1","1","90","0","0","0","1","0","1","0","2","0","2","3","0","0","0","0","0","0","0","1","0","0","0","0","2","0"
"*02m4d*","Craig Dawson","WHU/WOL","D","204","FA","WOL 0<br/>@ARS 5 F","7","7","0%","0%","1","1","90","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","6","0","0","0","2","0"
"*04rf1*","Mohamed Elyounoussi","SOU","M","165","FA","LIV 4<br/>@SOU 4 F","7","7","0%","0%","1","1","88","0","0","0","2","0","0","0","2","0","2","0","1","0","0","1","0","1","1","0","2","0","0","0","2","0"
"*03vlj*","Virgil van Dijk","LIV","D","78","RK U8","LIV 4<br/>@SOU 4 F","6.75","6.75","100%","0%","1","1","90","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","4","0","0","0","1","0"
"*05w9i*","Marc Cucurella","CHE","D","215","FA","NEW 1<br/>@CHE 1 F","6.75","6.75","97%","0%","1","1","90","0","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","4","0","0","1","0","0","0","1","0"
"*05u1m*","Nathan Collins","WOL","D","272","FA","WOL 0<br/>@ARS 5 F","6.75","6.75","82%","+1%","1","1","90","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","3","1","2","0","0","0","0","1","0"
"*061vk*","Jaidon Anthony","BOU","F","255","FA","BOU 0<br/>@EVE 1 F","6.5","6.5","82%","+1%","1","1","79","0","0","0","1","0","0","0","2","0","0","0","1","0","3","0","0","0","1","0","0","0","0","0","2","0"
"*037mo*","Willian","ARS/FUL","F","83","RK U8","FUL 1<br/>@MUN 2 F","6.5","6.5","0%","0%","1","1","90","0","0","0","2","0","0","0","0","0","1","0","0","0","0","2","0","1","0","0","1","0","0","0","1","0"
"*0327v*","Wilfried Zaha","CRY","F","96","FA","NOT 1<br/>@CRY 1 F","6.5","6.5","0%","0%","1","1","90","0","0","0","2","0","0","0","1","0","3","2","0","0","0","1","0","2","0","0","1","0","0","0","0","90"
"*05ybq*","Vitalii Mykolenko","EVE","D","130","FA","BOU 0<br/>@EVE 1 F","6.25","6.25","61%","0%","1","1","90","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","7","0","0","1","0","0","0","1","0"
"*04yey*","Max Kilman","WOL","D","118","RK U8","WOL 0<br/>@ARS 5 F","6.25","6.25","19%","0%","1","1","90","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","3","0","2","1","0","0","0","1","0"
"*03jly*","Andreas Pereira","FUL","M","64","FA","FUL 1<br/>@MUN 2 F","6.25","6.25","7%","0%","1","1","88","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"*061z4*","Marc Roca","LEE","M","120","AUTO REL","TOT 4<br/>@LEE 1 F","6.25","6.25","0%","0%","1","0","45","0","0","0","0","0","0","0","4","0","0","1","1","0","0","1","0","0","0","0","2","0","0","0","0","45"
"*037wp*","Christian Eriksen","MUN","M","128","FA","FUL 1<br/>@MUN 2 F","6.17","6.17","0%","0%","1","1","60","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","60"
"*0427d*","James Tarkowski","EVE","D","23","DDT","BOU 0<br/>@EVE 1 F","6","6","99%","0%","1","1","90","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","11","0","2","2","0","0","0","1","0"
"*05nt7*","Thiago Silva","CHE","D","121","RK U8","NEW 1<br/>@CHE 1 F","6","6","0%","0%","1","1","90","0","0","0","0","0","0","0","1","0","0","2","0","0","0","1","0","6","0","0","1","0","0","0","1","0"
