"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05oig*","Liam Delap","MCI","F","485","FA","AVL 2<br/>@MCI 3 F","2","2","32%","0%","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"*04ge8*","Reiss Nelson","ARS","F","486","FA","EVE 1<br/>@ARS 5 F","2","2","9%","0%","1","18","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"*04k4j*","Aaron Connolly","BHA","F","484","FA","WHU 1<br/>@BHA 3 F","2","0.5","0%","0%","4","151","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","1","0"
"*059iq*","Folarin Balogun","ARS","F","487","FA","EVE 1<br/>@ARS 5 F","1.75","0.88","0%","0%","2","68","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0"
"*05uhl*","Kaide Gordon","LIV","F","490","FA","WOL 1<br/>@LIV 3 F","1.5","1.5","0%","0%","1","7","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05lus*","Lewis Bate","CHE/LEE","M","489","FA","LEE 2<br/>@BRF 1 F","1.5","0.5","0%","0%","3","145","0","0","0","0","0","0","0","2","0","0","0","1","1","1","0","0","0","0","0","4","0"
"*05tri*","Mads Bidstrup","BRF","M","491","FA","LEE 2<br/>@BRF 1 F","1.25","0.31","0%","0%","4","33","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0"
"*05a6j*","Chem Campbell","WOL","F","492","FA","WOL 1<br/>@LIV 3 F","1.25","1.25","0%","0%","1","11","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05uho*","CJ Egan-Riley","MCI","D","493","FA","AVL 2<br/>@MCI 3 F","1.25","1.25","0%","0%","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05vyj*","Evan Ferguson","BHA","F","494","FA","WHU 1<br/>@BHA 3 F","1","1","94%","0%","1","21","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"*05nip*","Dane Scarlett","TOT","F","496","FA","TOT 5<br/>@NOR 0 F","1","1","0%","0%","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"*0554u*","Trezeguet","AVL","M","495","FA","AVL 2<br/>@MCI 3 F","1","1","0%","0%","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"*05r93*","Tyler Onyango","EVE","M","497","FA","EVE 1<br/>@ARS 5 F","0.75","0.25","0%","0%","3","26","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
