"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*05tqz*","Rico Henry","BRF","D","99","DF","MCI 0<br/>@BRF 1 F","260.19","7.03","2%","0%","37","37","3,236","0","2","0","23","1","4","0","31","0","44","38","4","0","24","30","4","69","25","8","40","0","1","0","46","984"
"*050jq*","Marc Guehi","CRY","D","100","DF","NOT 1<br/>@CRY 1 F","259.88","7.02","98%","0%","37","37","3,328","1","0","0","10","0","6","0","27","2","7","40","8","0","0","45","8","132","14","24","54","0","0","1","46","808"
"*051k0*","John McGinn","AVL","M","101","RyRob","BHA 1<br/>@AVL 2 F","259.11","7.62","69%","0%","34","30","2,683","1","3","1","18","2","11","1","36","0","35","66","7","0","9","24","1","15","44","4","22","0","2","0","31","911"
"*062ot*","Cheick Doucoure","CRY","M","102","FA","NOT 1<br/>@CRY 1 F","253.53","7.46","1%","0%","34","34","2,767","0","3","0","26","0","7","0","46","0","20","13","8","1","2","56","6","47","15","13","30","0","0","0","41","656"
"*03rxz*","Roberto Firmino","LIV","F","104","011","LIV 4<br/>@SOU 4 F","252.75","10.11","0%","0%","25","13","1,192","11","4","0","21","0","25","0","12","0","23","6","0","0","2","7","0","2","13","1","15","0","0","0","17","396"
"*05os8*","Joachim Andersen","CRY","D","105","KFFC","NOT 1<br/>@CRY 1 F","250.47","7.83","50%","-1%","32","32","2,782","1","0","0","12","0","9","0","22","0","3","16","8","0","1","24","5","187","5","13","87","0","0","2","37","720"
"*05nnx*","Rodrigo","LEE","F","106","011","TOT 4<br/>@LEE 1 F","250.25","8.07","0%","0%","31","23","1,920","13","1","0","16","1","27","0","10","0","24","11","6","0","7","6","1","21","11","4","34","0","0","0","43","308"
"*063hu*","Amadou Onana","EVE","M","107","DDT","BOU 0<br/>@EVE 1 F","249.29","7.55","16%","-2%","33","29","2,479","1","2","0","22","1","6","0","43","0","17","49","9","0","0","37","2","37","16","6","60","0","0","0","37","679"
"*063zi*","Matheus Nunes","WOL","M","108","YUM","WOL 0<br/>@ARS 5 F","248.71","7.31","99%","0%","34","30","2,455","1","1","1","27","0","9","1","43","0","39","49","2","0","7","17","2","31","42","4","22","0","0","0","38","852"
"*04gw7*","Jadon Sancho","MUN","M","109","thomas","FUL 1<br/>@MUN 2 F","248.05","9.54","7%","-4%","26","21","1,678","6","3","0","44","0","11","0","10","0","20","10","0","0","3","7","0","5","32","2","2","0","0","0","18","950"
